Year,Month,Start Date,End Date,Data As Of
0,0,2020-01-01,2023-09-23,2023-09-27
2020,0,2020-01-01,2020-12-31,2023-09-27
2021,0,2021-01-01,2021-12-31,2023-09-27
2022,0,2022-01-01,2022-12-31,2023-09-27
2023,0,2023-01-01,2023-09-23,2023-09-27
2020,1,2020-01-01,2020-01-31,2023-09-27
2020,2,2020-02-01,2020-02-29,2023-09-27
2020,3,2020-03-01,2020-03-31,2023-09-27
2020,4,2020-04-01,2020-04-30,2023-09-27
2020,5,2020-05-01,2020-05-31,2023-09-27
2020,6,2020-06-01,2020-06-30,2023-09-27
2020,7,2020-07-01,2020-07-31,2023-09-27
2020,8,2020-08-01,2020-08-31,2023-09-27
2020,9,2020-09-01,2020-09-30,2023-09-27
2020,10,2020-10-01,2020-10-31,2023-09-27
2020,11,2020-11-01,2020-11-30,2023-09-27
2020,12,2020-12-01,2020-12-31,2023-09-27
2021,1,2021-01-01,2021-01-31,2023-09-27
2021,2,2021-02-01,2021-02-28,2023-09-27
2021,3,2021-03-01,2021-03-31,2023-09-27
2021,4,2021-04-01,2021-04-30,2023-09-27
2021,5,2021-05-01,2021-05-31,2023-09-27
2021,6,2021-06-01,2021-06-30,2023-09-27
2021,7,2021-07-01,2021-07-31,2023-09-27
2021,8,2021-08-01,2021-08-31,2023-09-27
2021,9,2021-09-01,2021-09-30,2023-09-27
2021,10,2021-10-01,2021-10-31,2023-09-27
2021,11,2021-11-01,2021-11-30,2023-09-27
2021,12,2021-12-01,2021-12-31,2023-09-27
2022,1,2022-01-01,2022-01-31,2023-09-27
2022,2,2022-02-01,2022-02-28,2023-09-27
2022,3,2022-03-01,2022-03-31,2023-09-27
2022,4,2022-04-01,2022-04-30,2023-09-27
2022,5,2022-05-01,2022-05-31,2023-09-27
2022,6,2022-06-01,2022-06-30,2023-09-27
2022,7,2022-07-01,2022-07-31,2023-09-27
2022,8,2022-08-01,2022-08-31,2023-09-27
2022,9,2022-09-01,2022-09-30,2023-09-27
2022,10,2022-10-01,2022-10-31,2023-09-27
2022,11,2022-11-01,2022-11-30,2023-09-27
2022,12,2022-12-01,2022-12-31,2023-09-27
2023,1,2023-01-01,2023-01-31,2023-09-27
2023,2,2023-02-01,2023-02-28,2023-09-27
2023,3,2023-03-01,2023-03-31,2023-09-27
2023,4,2023-04-01,2023-04-30,2023-09-27
2023,5,2023-05-01,2023-05-31,2023-09-27
2023,6,2023-06-01,2023-06-30,2023-09-27
2023,7,2023-07-01,2023-07-31,2023-09-27
2023,8,2023-08-01,2023-08-31,2023-09-27
2023,9,2023-09-01,2023-09-23,2023-09-27
